Raíz verbal quechua;Raíz verbal español;Persona;Número;Tiempo;Conjugación
tusuy;bailar;cuarta;singular;pasado experimentado habitual;
tusuy;bailar;primera;plural;pasado experimentado habitual;ñuqanchik tusuq karqanchik
tusuy;bailar;segunda;plural;pasado experimentado habitual;qamkuna tusuq karqankichik
tusuy;bailar;tercera;plural;pasado experimentado habitual;paykuna tusuq karqanku
tusuy;bailar;cuarta;plural;pasado experimentado habitual;ñuqayku tusuq karqaniku
tusuy;bailar;primera;singular;pasado no experimentado simple;ñuqa tususqani
tusuy;bailar;segunda;singular;pasado no experimentado simple;qam tususqanki
tusuy;bailar;tercera;singular;pasado no experimentado simple;pay tususqan
tusuy;bailar;cuarta;singular;pasado no experimentado simple;
tusuy;bailar;primera;plural;pasado no experimentado simple;ñuqanchik tususqanchik
tusuy;bailar;segunda;plural;pasado no experimentado simple;qamkuna tususqankichik
tusuy;bailar;tercera;plural;pasado no experimentado simple;paykuna tususqank
tusuy;bailar;cuarta;plural;pasado no experimentado simple;ñuqayku tususqaniku
tusuy;bailar;primera;singular;pasado no exp. progresivo;ñuqa tusuchkasqani
tusuy;bailar;segunda;singular;pasado no exp. progresivo;qam tusuchkasqanki
tusuy;bailar;tercera;singular;pasado no exp. progresivo;pay tusuchkasqan
tusuy;bailar;cuarta;singular;pasado no exp. progresivo;
tusuy;bailar;primera;plural;pasado no exp. progresivo;ñuqanchik tusuchkasqanchik
tusuy;bailar;segunda;plural;pasado no exp. progresivo;qamkuna tusuchkasqankichik
tusuy;bailar;tercera;plural;pasado no exp. progresivo;paykuna tusuchkasqanku
tusuy;bailar;cuarta;plural;pasado no exp. progresivo;ñuqayku tusuchkasqaniku
tusuy;bailar;primera;singular;pasado no exp. habitual;ñuqa tusuq kasqani
tusuy;bailar;segunda;singular;pasado no exp. habitual;qam tusuq kasqanki
tusuy;bailar;tercera;singular;pasado no exp. habitual;pay tusuq kasqan
tusuy;bailar;cuarta;singular;pasado no exp. habitual;
tusuy;bailar;primera;plural;pasado no exp. habitual;ñuqanchik tusuq kasqanchik
tusuy;bailar;segunda;plural;pasado no exp. habitual;qamkuna tusuq kasqankichik
tusuy;bailar;tercera;plural;pasado no exp. habitual;paykuna tusuq kasqank
tusuy;bailar;cuarta;plural;pasado no exp. habitual;ñuqayku tusuq kasqaniku
